pid,locid,majorarea,hindex,name
171640,56.0,computerscience,7.0,Nawaaz  Ahmed
171642,56.0,computerscience,3.0,Rohit C. Fernandes
171644,56.0,computerscience,29.0,Milind V. Kulkarni
173140,507.0,computerscience,35.0,James  Aspnes
173142,507.0,computerscience,30.0,Julie  Dorsey
173144,507.0,computerscience,11.0,Joan  Feigenbaum
173145,507.0,computerscience,22.0,Michael  Fischer
173147,507.0,computerscience,49.0,Drew  McDermott
173151,507.0,computerscience,43.0,Brian  Scassellati
173152,507.0,computerscience,4.0,Zhong  Shao
173154,507.0,computerscience,3.0,Yang  Yang
173204,507.0,computerscience,2.0,Alexander G. Thomson
173206,507.0,computerscience,14.0,Jiang  Chen
173208,507.0,computerscience,7.0,Gauri  Shah
173211,507.0,computerscience,1.0,Yitong  Yin
173212,507.0,computerscience,8.0,Jianye  Lu
173213,507.0,computerscience,16.0,Hongzhi  Wu
173216,507.0,computerscience,78.0,Vijay  Ramachandran
173219,507.0,computerscience,9.0,Hongda  Xiao
173220,507.0,computerscience,3.0,Xueyuan  Su
173221,507.0,computerscience,5.0,Songhua  Xu
173222,507.0,computerscience,11.0,Dejing  Dou
173223,507.0,computerscience,20.0,Kevin  Gold
173224,507.0,computerscience,22.0,Frederick  Shic
173225,507.0,computerscience,15.0,Christopher  Crick
173226,507.0,computerscience,1.0,Elizabeth S. Kim
173229,507.0,computerscience,6.0,Bratin  Saha
173231,507.0,computerscience,11.0,Dachuan  Yu
173233,507.0,computerscience,25.0,Zhaozhong  Ni
173234,507.0,computerscience,2.0,Rodrigo  Ferreira
30999,86.0,"ling,computerscience",13.0,Hao  Wang
176473,86.0,computerscience,19.0,Yiling  Chen
176474,86.0,computerscience,1.0,Stephen  Chong
114653,4151.0,"neuro,computerscience",17.0,Scott R. Kuindersma
176482,86.0,computerscience,39.0,Hsiang-Tsung  Kung
176488,86.0,computerscience,21.0,Jelani  Nelson
176489,86.0,computerscience,59.0,David C. Parkes
176490,86.0,computerscience,23.0,Hanspeter  Pfister
176496,86.0,computerscience,20.0,Michael D. Smith
176497,86.0,computerscience,7.0,Madhu  Sudan
176471,86.0,computerscience,53.0,Boaz  Barak
176519,86.0,computerscience,3.0,Jia  Zheng
176522,86.0,computerscience,1.0,Minh-Huyen  Nguyen
176529,312.0,computerscience,48.0,Manuel  Blum
176552,238.0,computerscience,6.0,Sharon  Goldberg
176553,238.0,computerscience,27.0,David  Xiao
176556,86.0,computerscience,15.0,Xiaoyao  Liang
176558,86.0,computerscience,2.0,Meeta S. Gupta
176572,86.0,computerscience,11.0,Xi  Gao
176574,86.0,computerscience,29.0,Pedro V. Sander
176577,86.0,computerscience,9.0,Hamilton Y. Chong
176582,86.0,computerscience,11.0,Philip G. Hendrix
176587,86.0,computerscience,18.0,Zhenming  Liu
176591,86.0,computerscience,1.0,Chih-Han  Yu
176594,86.0,computerscience,10.0,Kirstin H. Petersen
176601,86.0,computerscience,34.0,Jacomo  Corbo
176603,86.0,computerscience,7.0,Laura S. Kang
176607,86.0,computerscience,8.0,Shaili  Jain
176609,86.0,computerscience,7.0,Chaki  Ng
176610,86.0,computerscience,6.0,Haoqi  Zhang
176611,86.0,computerscience,5.0,John K. Lai
176612,86.0,computerscience,9.0,James Y. Zou
176617,86.0,computerscience,7.0,Kevin  Dale
176619,86.0,computerscience,16.0,Michelle A. Borkin
176623,86.0,computerscience,2.0,Yan Z. Ding
176624,86.0,computerscience,1.0,Hanming  Rao
176629,86.0,computerscience,14.0,Xiaolan  Zhang
176633,86.0,computerscience,13.0,Alexandra  Fedorova
176634,86.0,computerscience,27.0,Christopher A. Stein
176640,86.0,computerscience,9.0,Chung-chieh  Shan
176649,86.0,computerscience,25.0,Vitaly  Feldman
177235,86.0,computerscience,37.0,David Yu-Chung Chen
178711,398.0,computerscience,22.0,Hector Corrada Bravo
178714,398.0,computerscience,4.0,Amol  Deshpande
178715,398.0,computerscience,43.0,Ramani  Duraiswami
178716,398.0,computerscience,27.0,Howard  Elman
178718,398.0,computerscience,36.0,Jeffrey  Foster
178725,398.0,computerscience,6.0,Michael  Hicks
178728,398.0,computerscience,36.0,Jonathan  Katz
178729,398.0,computerscience,30.0,Pete  Keleher
178730,398.0,computerscience,48.0,Samir  Khuller
178735,398.0,computerscience,33.0,David  Mount
178736,398.0,computerscience,10.0,Dana S. Nau
178740,398.0,computerscience,51.0,Mihai  Pop
178741,398.0,computerscience,22.0,Adam  Porter
178752,398.0,computerscience,97.0,Ben  Shneiderman
178754,398.0,computerscience,46.0,Aravind  Srinivasan
178755,600.0,computerscience,52.0,V. S. Subrahmanian
178756,398.0,computerscience,32.0,Alan  Sussman
178758,398.0,computerscience,31.0,Amitabh  Varshney
178762,398.0,computerscience,27.0,Laveen  Kanal
178763,398.0,computerscience,15.0,Raymond  Miller
178765,398.0,computerscience,29.0,Dianne  O'leary
178767,398.0,computerscience,5.0,G. W. (Pete) Stewart
178885,398.0,computerscience,1.0,Suman  Banerjee
178888,398.0,computerscience,19.0,Adel A. Youssef
178893,398.0,computerscience,6.0,Neha  Gupta
178894,398.0,computerscience,4.0,Dongwoon  Hahn
178895,398.0,computerscience,1.0,Shivsubramani  Krishnamoorthy
178896,398.0,computerscience,77.0,Gleneesha M. Williams
178905,398.0,computerscience,17.0,Bongwon  Suh
178908,398.0,computerscience,42.0,Bongshin  Lee
178909,398.0,computerscience,22.0,Amy K. Karlson
178911,398.0,computerscience,2.0,Chang  Hu
178912,398.0,computerscience,22.0,Alexander J. Quinn
178925,398.0,computerscience,18.0,Dmitry N. Zotkin
178926,398.0,computerscience,29.0,Anurag  Mittal
178929,398.0,computerscience,18.0,Kyongil  Yoon
178930,398.0,computerscience,11.0,Kyungnam  Kim
178931,398.0,computerscience,16.0,Changjiang  Yang
178932,398.0,computerscience,38.0,Bohyung  Han
178934,398.0,computerscience,2.0,Ser-Nam  Lim
178938,398.0,computerscience,46.0,Zhe  Lin
178941,398.0,computerscience,3.0,Mohamed  Hussein
178942,398.0,computerscience,13.0,Aniruddha  Kembhavi
178943,398.0,computerscience,22.0,Vlad I. Morariu
178945,398.0,computerscience,2.0,Mudit  Agrawal
178947,398.0,computerscience,9.0,Huimin  Guo
178950,398.0,computerscience,10.0,Jayant  Kumar
178951,398.0,computerscience,7.0,Arpit  Jain
178952,398.0,computerscience,10.0,Hyungtae  Lee
178713,398.0,computerscience,23.0,Larry S. Davis
178955,398.0,computerscience,27.0,Prithviraj  Sen
178959,398.0,computerscience,3.0,Azriel  Rosenfeld
178960,398.0,computerscience,4.0,Zhiyun  Li
178961,398.0,computerscience,19.0,Vikas C. Raykar
178962,398.0,computerscience,2.0,Qi  Hu
178969,398.0,computerscience,19.0,Xu  Liu
178970,398.0,computerscience,22.0,William Robson Schwartz
178971,398.0,computerscience,23.0,Chin-Tien  Wu
178972,398.0,computerscience,2.0,Zhihui  Tang
178976,398.0,computerscience,4.0,Fei  Xue
178977,398.0,computerscience,3.0,Minghao  Wu
178980,117.0,"computerscience,etree",36.0,Andrea  Prosperetti
178997,398.0,computerscience,16.0,Saurabh  Srivastava
178998,398.0,computerscience,30.0,Kin K. Ma
179008,398.0,computerscience,1.0,Carl F. Andersen
179020,398.0,computerscience,4.0,I-Hsin  Chung
179022,398.0,computerscience,7.0,Chadd C. Williams
179023,398.0,computerscience,57.0,Ananta N. Tiwari
179035,398.0,computerscience,2.0,Yung-Chun  Wan
179036,398.0,computerscience,24.0,Yoo A. Kim
179040,398.0,computerscience,21.0,Barna  Saha
179042,398.0,computerscience,18.0,Koyel  Mukherjee
179048,398.0,computerscience,14.0,Qing  Xie
179049,398.0,computerscience,61.0,Cyntrica N. Eaton
179051,398.0,computerscience,19.0,Xun  Yuan
179053,398.0,computerscience,9.0,Penelope A. Brooks
179059,398.0,computerscience,13.0,Sorelle A. Friedler
179060,398.0,computerscience,5.0,Minkyoung  Cho
179061,398.0,computerscience,11.0,Eunhui  Park
179066,398.0,computerscience,9.0,Zhiyang  Yao
179069,398.0,computerscience,29.0,Tsz-Chiu  Au
179070,398.0,computerscience,10.0,Patrick  Roos
179071,398.0,computerscience,47.0,Ronald  Alford
179074,398.0,computerscience,16.0,Waiyian  Chong
179075,398.0,computerscience,6.0,Scott C. Thomas
179076,398.0,computerscience,13.0,Shomir  Wilson
179078,398.0,computerscience,7.0,Mohammadreza  Ghodsi
179084,398.0,computerscience,5.0,Yuri  Shkuro
179085,398.0,computerscience,20.0,Reiner  Schulz
179086,398.0,computerscience,3.0,Shaun  Gittens
179088,398.0,computerscience,3.0,Jae-Yoon  Jung
179089,398.0,computerscience,5.0,Ransom K. Winder
179090,398.0,computerscience,5.0,Zhijian  Pan
179092,398.0,computerscience,7.0,Derek  Monner
179093,398.0,computerscience,2.0,Thuan Q. Huynh
179105,398.0,computerscience,22.0,Sungjoon  Ahn
179110,398.0,computerscience,5.0,Arunchandar  Vasan
179115,398.0,computerscience,27.0,Harry  Hochheiser
179116,398.0,computerscience,13.0,Hyunmo  Kang
179117,398.0,computerscience,19.0,Jinwook  Seo
179119,398.0,computerscience,10.0,Haixia  Zhao
179121,398.0,computerscience,10.0,Aleks  Aris
179122,398.0,computerscience,14.0,Taowei D. Wang
179123,398.0,computerscience,15.0,Krist  Wongsuphasawat
179124,398.0,computerscience,5.0,Sureyya  Tarkan
179127,398.0,computerscience,7.0,Megan  Monroe
179131,398.0,computerscience,10.0,Nan  Wang
179132,398.0,computerscience,59.0,Srinivasan  Parthasarathy
179133,398.0,computerscience,8.0,Thomas  DuBois
179137,398.0,computerscience,13.0,Yu  Deng
179139,398.0,computerscience,19.0,Octavian  Udrea
179140,398.0,computerscience,21.0,Paulo  Shakarian
179142,398.0,computerscience,10.0,Beomseok  Nam
179143,398.0,computerscience,28.0,Shang-Chieh J. Wu
179144,398.0,computerscience,20.0,Ilchul  Yoon
179145,398.0,computerscience,24.0,Jaehwan  Lee
179146,398.0,computerscience,12.0,Sukhyun  Song
179147,398.0,computerscience,24.0,Xuejun  Hao
179150,398.0,computerscience,10.0,Cheuk Y. Ip
179151,398.0,computerscience,1.0,Arunesh  Mishra
179153,398.0,computerscience,35.0,Min-Ho  Shin
179160,398.0,computerscience,19.0,Clare R. Voss
179161,398.0,computerscience,29.0,Rebecca J. Green
179165,398.0,computerscience,6.0,Calandra R. Tate
179171,398.0,computerscience,17.0,Daniel M. Dunlavy
179172,398.0,computerscience,15.0,Haw-ren  Fang
179173,398.0,computerscience,7.0,Elena  Zotenko
179176,398.0,computerscience,2.0,Sungwoo  Park
179183,398.0,computerscience,1.0,Che-Rung  Lee
179269,398.0,computerscience,20.0,Jinhong K. Guo
179271,398.0,computerscience,1.0,Song  Mao
179274,117.0,computerscience,4.0,Sergey  Karpov
179276,117.0,computerscience,7.0,Zhizhong  Yin
179278,117.0,computerscience,3.0,Xiaozhen  Lu
179279,117.0,computerscience,39.0,Binze  Yang
179280,117.0,computerscience,3.0,Xu  Geng
179281,117.0,computerscience,14.0,Lorenzo  Botto
180176,312.0,computerscience,71.0,Rajeev  Alur
180179,426.0,computerscience,53.0,Kostas  Daniilidis
180180,426.0,computerscience,3.0,Susan  Davidson
180183,426.0,computerscience,44.0,Sudipto  Guha
180187,426.0,computerscience,35.0,Zachary  Ives
180188,426.0,computerscience,37.0,Sampath  Kannan
180190,426.0,computerscience,57.0,Michael  Kearns
180191,426.0,computerscience,3.0,Sanjeev  Khanna
180195,426.0,computerscience,5.0,Milo M.k. Martin
180196,426.0,"computerscience,robotics",22.0,Max  Mintz
