grantid,pid,BUDGET_START
34822,463031,12/1/1985
34939,178713,7/1/1985
35094,421250,9/1/1985
35176,182427,7/1/1985
35214,421250,12/1/1984
35234,423274,4/1/1985
35262,460519,9/1/1985
35763,478037,9/30/1985
35784,422876,2/1/1985
35787,412802,7/1/1985
35798,621904,7/1/1985
35924,420226,2/1/1985
35931,187280,7/1/1985
35931,436145,7/1/1985
35931,438496,7/1/1985
36118,180203,1/1/1985
36203,460483,7/1/1985
36263,430357,12/1/1984
36375,766871,9/1/1985
36598,739125,4/1/1985
36625,552821,1/1/1985
36639,419354,7/1/1985
36639,421979,7/1/1985
36639,425733,7/1/1985
36937,420061,1/1/1985
36998,421861,9/30/1985
37151,421861,5/1/1986
37197,416425,1/1/1985
37207,543047,8/1/1985
37225,543047,9/1/1985
37232,739125,9/30/1985
37328,582167,4/1/1985
37473,95365,8/1/1985
37473,739127,8/1/1985
37502,187240,12/1/1984
37562,463031,9/1/1985
37824,463031,7/1/1985
37982,822203,7/1/1985
38243,115512,9/1/1985
38345,851802,1/1/1985
38400,415742,1/1/1985
38834,670136,4/1/1985
39235,686944,12/1/1984
39240,833105,4/1/1985
39362,670136,7/1/1985
39556,679028,4/1/1985
39596,679029,9/1/1985
39664,739124,7/1/1985
39683,667140,9/1/1985
39683,718220,9/1/1985
39875,179075,9/30/1985
40243,428446,4/1/1985
40243,667835,4/1/1985
40517,667140,9/30/1985
40517,718220,9/30/1985
40767,420042,1/1/1985
40941,426598,12/1/1984
40941,670135,12/1/1984
41099,516621,4/1/1985
41154,178725,8/1/1985
41159,416601,3/1/1985
41159,419389,3/1/1985
41159,479413,3/1/1985
41271,432272,12/1/1984
41636,411859,2/1/1985
41783,739125,9/1/1985
41785,421026,7/1/1985
41796,543047,7/1/1985
41869,503304,7/1/1985
41961,442253,7/1/1985
42127,418511,2/1/1985
42269,736054,9/1/1985
42382,412640,3/1/1985
42382,418498,3/1/1985
42382,432025,3/1/1985
42383,412640,3/1/1985
42383,418498,3/1/1985
42383,432025,3/1/1985
42384,412640,3/1/1985
42384,418498,3/1/1985
42384,432025,3/1/1985
42385,412640,3/1/1985
42385,418498,3/1/1985
42385,432025,3/1/1985
43285,417592,4/1/1985
43511,706351,4/1/1985
43542,706407,4/1/1985
43792,412555,2/1/1985
43825,189298,1/1/1985
43940,191429,2/1/1985
44027,463031,7/1/1985
44067,478847,7/1/1985
44081,740887,7/1/1985
44136,421250,9/1/1985
44290,178713,7/1/1985
44331,411829,8/1/1985
44334,439615,8/1/1985
44381,477920,7/1/1985
44381,557379,7/1/1985
44395,543047,7/1/1985
44496,178718,7/1/1985
44524,418512,8/1/1985
44653,423275,7/1/1985
44750,621904,7/1/1985
44796,439433,7/1/1985
44853,753923,7/1/1985
44880,835050,7/1/1985
44919,706399,9/1/1985
44990,188255,7/1/1985
45020,178728,7/1/1985
45203,463031,7/1/1985
45226,183352,7/1/1985
45226,183444,7/1/1985
45236,184219,7/1/1985
45373,179053,7/1/1985
45445,182427,7/1/1985
45463,432700,7/1/1985
45463,482521,7/1/1985
45628,832004,7/1/1985
45636,418512,7/1/1985
45710,444284,7/1/1985
45865,191773,7/1/1985
45865,736547,7/1/1985
46266,411734,5/1/1985
46495,420061,7/1/1985
46590,183352,4/1/1985
46590,183444,4/1/1985
46590,184428,4/1/1985
46590,186072,4/1/1985
46590,251301,4/1/1985
46590,413140,4/1/1985
46590,415650,4/1/1985
46590,419321,4/1/1985
46590,419698,4/1/1985
46590,433435,4/1/1985
46590,439615,4/1/1985
46590,559323,4/1/1985
46590,645008,4/1/1985
46590,727480,4/1/1985
46791,571592,9/1/1985
46972,483,10/1/1985
49960,203335,07/01/1986
49968,667140,07/01/1986
49968,718220,07/01/1986
50202,706407,07/01/1986
50205,184236,07/01/1986
50283,478037,07/01/1986
50370,706407,07/01/1986
50506,440344,09/01/1986
50604,184262,07/01/1986
50740,425839,10/01/1986
50970,706407,09/01/1986
51043,667140,10/01/1986
51043,718220,10/01/1986
51058,203335,10/01/1986
51216,182292,09/01/1986
51217,182292,09/01/1986
51327,706351,10/01/1986
51604,773086,07/01/1986
51687,503304,08/01/1986
51693,182266,12/01/1985
51953,184236,07/01/1987
51962,773086,11/01/1986
52329,426489,01/01/1986
52690,735570,05/15/1986
53070,180203,05/01/1986
53212,519945,03/15/1986
53239,533268,09/01/1986
53490,835050,05/19/1986
53491,835050,05/19/1986
53499,411734,06/03/1985
53825,168025,09/01/1986
53865,181172,09/29/1986
53950,444284,01/01/1986
54040,739124,07/01/1986
54080,115512,05/01/1986
54182,430893,07/01/1986
54298,417655,07/01/1986
54363,460483,07/01/1986
54488,670136,09/01/1986
54711,178718,12/01/1985
54723,178970,01/01/1986
54751,420656,04/01/1986
55376,203827,08/01/1986
55377,427637,06/01/1986
55442,422983,10/01/1986
55442,426695,10/01/1986
55443,236,10/01/1986
55443,416606,10/01/1986
55443,434881,10/01/1986
55447,423527,10/01/1986
55448,423527,10/01/1986
55452,415780,10/01/1986
55454,176496,10/01/1986
55454,180203,10/01/1986
55454,411984,10/01/1986
55454,412771,10/01/1986
55454,419114,10/01/1986
55454,420324,10/01/1986
55454,427960,10/01/1986
55454,441123,10/01/1986
55454,443160,10/01/1986
55454,462278,10/01/1986
55454,478770,10/01/1986
55454,482572,10/01/1986
55454,584091,10/01/1986
55454,592706,10/01/1986
55454,641010,10/01/1986
55454,667140,10/01/1986
55454,706407,10/01/1986
55454,717068,10/01/1986
55454,718220,10/01/1986
55464,413015,10/01/1986
55464,668590,10/01/1986
55465,176496,10/01/1986
55465,180203,10/01/1986
55465,411984,10/01/1986
55465,412771,10/01/1986
55465,419114,10/01/1986
55465,420324,10/01/1986
55465,427960,10/01/1986
55465,441123,10/01/1986
55465,443160,10/01/1986
55465,462278,10/01/1986
55465,478770,10/01/1986
55465,482572,10/01/1986
55465,584091,10/01/1986
55465,592706,10/01/1986
55465,641010,10/01/1986
55465,667140,10/01/1986
55465,706407,10/01/1986
55465,717068,10/01/1986
55465,718220,10/01/1986
55466,420452,10/01/1986
55466,422822,10/01/1986
55466,481635,10/01/1986
55466,609618,10/01/1986
55466,679028,10/01/1986
55466,727479,10/01/1986
55470,441564,10/01/1986
55470,456769,10/01/1986
55470,558169,10/01/1986
55478,412744,10/01/1986
55479,416601,10/01/1986
55479,419389,10/01/1986
55479,479413,10/01/1986
55480,441411,10/01/1986
55480,444666,10/01/1986
55480,620808,10/01/1986
55487,424221,10/01/1986
55490,183352,10/01/1986
55490,183444,10/01/1986
55490,184428,10/01/1986
55490,186072,10/01/1986
55490,251301,10/01/1986
55490,413140,10/01/1986
55490,415650,10/01/1986
55490,419321,10/01/1986
55490,419698,10/01/1986
55490,433435,10/01/1986
55490,439615,10/01/1986
55490,559323,10/01/1986
55490,645008,10/01/1986
55490,727480,10/01/1986
55494,184530,10/01/1986
55494,411786,10/01/1986
55494,411891,10/01/1986
55494,426158,10/01/1986
55494,433872,10/01/1986
55497,180515,10/01/1986
55497,411877,10/01/1986
55497,420061,10/01/1986
55499,115488,10/01/1986
55499,478825,10/01/1986
55510,184530,10/01/1986
55510,411786,10/01/1986
55510,411891,10/01/1986
55510,426158,10/01/1986
55510,433872,10/01/1986
55515,183352,10/01/1986
55515,183444,10/01/1986
55515,184428,10/01/1986
55515,186072,10/01/1986
55515,251301,10/01/1986
55515,413140,10/01/1986
55515,415650,10/01/1986
55515,419321,10/01/1986
55515,419698,10/01/1986
55515,433435,10/01/1986
55515,439615,10/01/1986
55515,559323,10/01/1986
55515,645008,10/01/1986
55515,727480,10/01/1986
55517,441564,10/01/1986
55517,456769,10/01/1986
55517,558169,10/01/1986
55521,115482,10/01/1986
55521,115487,10/01/1986
55521,178908,10/01/1986
55521,178952,10/01/1986
55521,179145,10/01/1986
55521,179183,10/01/1986
55521,182209,10/01/1986
55521,182272,10/01/1986
55521,182279,10/01/1986
55521,182298,10/01/1986
55521,182299,10/01/1986
55521,182337,10/01/1986
55521,182585,10/01/1986
55521,182587,10/01/1986
55521,184933,10/01/1986
55521,189149,10/01/1986
55521,189185,10/01/1986
55521,251305,10/01/1986
55521,412557,10/01/1986
55521,412792,10/01/1986
55521,412897,10/01/1986
55521,415911,10/01/1986
55521,416366,10/01/1986
55521,416633,10/01/1986
55521,416913,10/01/1986
55521,417390,10/01/1986
55521,417868,10/01/1986
55521,418191,10/01/1986
55521,418206,10/01/1986
55521,418429,10/01/1986
55521,418573,10/01/1986
55521,418708,10/01/1986
55521,418718,10/01/1986
55521,418813,10/01/1986
55521,419095,10/01/1986
55521,419610,10/01/1986
55521,419943,10/01/1986
55521,420397,10/01/1986
55521,420399,10/01/1986
55521,420848,10/01/1986
55521,421105,10/01/1986
55521,421550,10/01/1986
55521,421700,10/01/1986
55521,422355,10/01/1986
55521,422403,10/01/1986
55521,422663,10/01/1986
55521,422672,10/01/1986
55521,422925,10/01/1986
55521,423264,10/01/1986
55521,423914,10/01/1986
55521,425006,10/01/1986
55521,425014,10/01/1986
55521,425326,10/01/1986
55521,426419,10/01/1986
55521,426608,10/01/1986
55521,426642,10/01/1986
55521,426721,10/01/1986
55521,426759,10/01/1986
55521,427093,10/01/1986
55521,427930,10/01/1986
55521,428262,10/01/1986
55521,428440,10/01/1986
55521,428441,10/01/1986
55521,428452,10/01/1986
55521,428688,10/01/1986
55521,429059,10/01/1986
55521,430026,10/01/1986
55521,430035,10/01/1986
55521,430606,10/01/1986
55521,430709,10/01/1986
55521,430877,10/01/1986
55521,432425,10/01/1986
55521,432692,10/01/1986
55521,432700,10/01/1986
55521,432809,10/01/1986
55521,432976,10/01/1986
55521,433812,10/01/1986
55521,433839,10/01/1986
55521,433889,10/01/1986
55521,436115,10/01/1986
55521,436303,10/01/1986
55521,436531,10/01/1986
55521,436543,10/01/1986
55521,439555,10/01/1986
55521,439903,10/01/1986
55521,440600,10/01/1986
55521,440607,10/01/1986
55521,442253,10/01/1986
55521,442768,10/01/1986
55521,443155,10/01/1986
55521,446028,10/01/1986
55521,449837,10/01/1986
55521,449948,10/01/1986
55521,450931,10/01/1986
55521,456783,10/01/1986
55521,456854,10/01/1986
55521,457068,10/01/1986
55521,458460,10/01/1986
55521,460519,10/01/1986
55521,463095,10/01/1986
55521,463582,10/01/1986
55521,463677,10/01/1986
55521,482521,10/01/1986
55521,483575,10/01/1986
55521,485589,10/01/1986
55521,523555,10/01/1986
55521,552822,10/01/1986
55521,574298,10/01/1986
55521,589448,10/01/1986
55521,591862,10/01/1986
55521,599346,10/01/1986
55521,608868,10/01/1986
55521,613115,10/01/1986
55521,667915,10/01/1986
55521,668296,10/01/1986
55521,668300,10/01/1986
55521,670018,10/01/1986
55521,679391,10/01/1986
55521,679392,10/01/1986
55523,115482,10/01/1986
55523,115487,10/01/1986
55523,178908,10/01/1986
55523,178952,10/01/1986
55523,179145,10/01/1986
55523,179183,10/01/1986
55523,182209,10/01/1986
55523,182272,10/01/1986
55523,182279,10/01/1986
55523,182298,10/01/1986
55523,182299,10/01/1986
55523,182337,10/01/1986
55523,182585,10/01/1986
55523,182587,10/01/1986
55523,184933,10/01/1986
55523,189149,10/01/1986
55523,189185,10/01/1986
